URL,Section,Image Objective,Subject,Pet,People,Setting,Orientation,Aspect Ratio,Suggested Filename,Alt Text,Caption,Original Photo Preferred?,AI Image Acceptable?,Image-Generation Prompt,Notes
"https://dubai-pet-relocation.ae/","Hero","Primary emotional hook + category definition; anchors H1","Owner kneeling beside golden retriever next to an open IATA travel crate","Golden retriever","Owner (30s, casual expat attire)","Bright Dubai villa living room, moving boxes in background","landscape","16:9","hero-golden-retriever-iata-crate-dubai-villa.jpg","Golden retriever beside an open IATA travel crate in a Dubai villa during a pet relocation","Every relocation starts at home - we plan the journey around your pet, not the other way round.","yes","no","N/A - original photography required. Shot brief: real client move with model release; hero is the page's main trust signal and implies real operations, so no AI substitute; shoot horizontal with negative space right for headline","Most important image on the site; crop-safe copy area on right; WebP, fetchpriority=high"
"https://dubai-pet-relocation.ae/","Trust bar","Subtle background texture behind verified-claims strip","Overhead flat lay of a pet travel document folder, crate hardware fittings and a measuring tape","None","Hands only (edge of frame)","Neutral desk, soft daylight","landscape","21:9","trust-bar-pet-travel-documents-crate-hardware.jpg","Pet travel document folder and IATA crate fittings arranged on a desk","","yes","no","N/A - original photography required. Shot brief: use the company's own real paperwork with sensitive data redacted; AI must not invent government-looking forms","Only ship with claims verified per trust-claims-register; keep low-contrast so overlay text passes WCAG"
"https://dubai-pet-relocation.ae/","Services strip (card 1)","Card image for dog relocation service link","German Shepherd standing calmly in a correctly sized travel crate, door open","German Shepherd","Handler's hand on crate door","Shaded residential driveway, Dubai villa gate","landscape","4:3","german-shepherd-travel-crate-dog-relocation-dubai.jpg","German Shepherd in an open IATA travel crate before dog relocation from a Dubai villa","Dog relocation - breed checks, crate sizing and airline rules handled for you.","no","yes","Photorealistic documentary-style image of a calm German Shepherd standing in an open IATA-compliant travel crate, a handler steadying the crate door, Dubai villa driveway in soft morning light, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 4:3.","First of a 4-card strip"
"https://dubai-pet-relocation.ae/","Services strip (card 2)","Card image for cat relocation service link","British Shorthair cat resting inside a fabric-lined carrier on a sofa","British Shorthair cat","None","Apartment living room, Dubai high-rise window light","landscape","4:3","british-shorthair-cat-carrier-cat-relocation-dubai.jpg","British Shorthair cat resting in a travel carrier inside a Dubai apartment","Cat relocation - calm-first planning, no sedation, the right carrier.","no","yes","Photorealistic documentary-style image of a British Shorthair cat curled inside an open soft-lined travel carrier on a sofa, relaxed posture, Dubai apartment window light, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 4:3.","Card 2 of services strip"
"https://dubai-pet-relocation.ae/","Services strip (card 3)","Card image for MOCCAE permit assistance link","Close-up of hands checking a printed pet relocation checklist next to a pet passport-style booklet","None","Coordinator's hands","Desk with laptop edge visible, no readable screens","landscape","4:3","moccae-permit-document-check-hands-dubai.jpg","Coordinator reviewing a pet relocation document checklist for a MOCCAE permit application","Permits and paperwork - MOCCAE import and export permits tracked end to end.","no","yes","Photorealistic documentary-style image of hands ticking off a printed pet relocation checklist beside a plain pet document booklet, laptop edge out of focus, no readable text or official-looking seals, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 4:3.","Must not resemble a real government document"
"https://dubai-pet-relocation.ae/","Services strip (card 4)","Card image for pet transport service link","Climate-controlled van interior with a secured travel crate and a handler checking straps","None (crate closed)","Uniformed handler (no logo on clothing)","Inside unbranded white pet transport van","landscape","4:3","climate-controlled-pet-transport-van-crate-dubai.jpg","Secured travel crate inside a climate-controlled pet transport van in Dubai","Local pet transport - climate-controlled vehicles and careful handlers.","yes","no","N/A - original photography required. Shot brief: photograph the actual partner vehicle interior; transport capability is a proof claim, so no AI mock-up; if the van is branded, shoot an unbranded angle","Proof-of-operations image"
"https://dubai-pet-relocation.ae/","Routes strip","Visual for top route corridors (inbound + outbound feel)","Beagle in a crate at a home doorway with a Dubai balcony skyline beyond","Beagle","Owner silhouette","Home doorway transitioning to Dubai balcony view","landscape","16:9","routes-strip-beagle-crate-doorway-dubai-skyline.jpg","Beagle in a travel crate at a home doorway with a Dubai skyline beyond, suggesting international pet relocation routes","UK, USA, India, Australia and more corridors - each with its own rules, mapped route by route.","no","yes","Photorealistic documentary-style image of a beagle sitting in an open travel crate at a home doorway, soft Dubai skyline visible through a balcony beyond, clearly editorial rather than documentary, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.","Represents routes generically; never show fake airport signage or airline liveries"
"https://dubai-pet-relocation.ae/","How it works","Explain the 7-step process at a glance; links to /how-it-works/","Seven-step horizontal process infographic from consultation to reunion","Simple paw/dog/cat icons","None","Flat diagram","landscape","16:9","how-pet-relocation-works-7-step-process-dubai.png","Diagram of the 7-step Dubai pet relocation process from free consultation to home reunion","Seven clear steps. You always know which one your pet is on.","no","yes","Clean flat-design infographic: seven-step horizontal process flow for pet relocation (consultation, document check, partner matching, booking, pre-travel prep, travel day, arrival and reunion), numbered nodes connected by a line with paw-print accents. Labels: 1 Free consultation; 2 Document check; 3 Partner matching; 4 Booking; 5 Pre-travel prep; 6 Travel day; 7 Arrival and reunion. Neutral sand-and-teal palette, generous whitespace, simple vector icons, legible typography, no brand logos, no fake official seals, landscape 16:9.","Reuse a vertical crop of this asset on /how-it-works/"
"https://dubai-pet-relocation.ae/","Compliance block","Visual authority for MOCCAE/IATA compliance section","Close-up detail of IATA crate hardware: metal door grid, bolts, ventilation holes and water bowl","None","None","Studio-style neutral background","landscape","4:3","iata-crate-hardware-detail-compliance-dubai.jpg","Close-up of IATA-compliant pet crate hardware with ventilation grille and secure metal door","Crates built to IATA Live Animals Regulations - the standard airlines actually enforce.","no","yes","Photorealistic macro detail of IATA-compliant pet travel crate hardware, metal mesh door, bolts and clip-on water bowl, neutral studio background, product-photography feel, warm natural light, no logos, no text, editorial photography, landscape 4:3.","Pairs with link to /guides/iata-pet-crate-requirements/"
"https://dubai-pet-relocation.ae/","Local coverage","Show community coverage across Dubai at a glance; links to /dubai/ hub","Stylised flat map of Dubai with paw markers over key communities","Simple paw icon","None","Flat diagram/map","landscape","16:9","dubai-pet-relocation-community-coverage-map.png","Map of Dubai communities covered for pet relocation, from Dubai Marina to Mirdif and Dubai South","From Marina towers to Arabian Ranches villas - door-to-door in 16+ Dubai communities.","no","yes","Clean flat-design infographic: simplified stylised map of Dubai's coastline and main corridors with paw-print markers on Dubai Marina, JLT, JBR, Palm Jumeirah, Downtown, Business Bay, Jumeirah, Arabian Ranches, Dubai Hills, JVC, Al Barsha, Mirdif, Deira, Bur Dubai, Umm Suqeim, Dubai South. Labels: community names as small labels; DXB and DWC marked with small plane icons; small 'illustrative map' note in corner. Sand-and-teal palette, no brand logos, landscape 16:9.","Keep geography approximate and labelled illustrative"
