filename,aspect_ratio,alt_text,status,bytes,delivered_path
uae-pet-relocation-cities-emirates-map.png,16:9,"UAE map of pet relocation coverage across Dubai, Abu Dhabi and Sharjah",delivered,1645060,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/uae-pet-relocation-cities-emirates-map.png
uae-cities-hub-emirate-card-icons.png,16:9,Icon set for UAE city pet relocation cards,delivered,1106207,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/uae-cities-hub-emirate-card-icons.png
pet-relocation-routes-hub-inbound-outbound-map.png,16:9,Map of pet relocation routes to and from Dubai grouped into inbound and outbound corridors,delivered,1976148,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-routes-hub-inbound-outbound-map.png
route-card-icons-crate-plane-document-paw.png,16:9,Icon set used across pet relocation route cards,delivered,1136026,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/route-card-icons-crate-plane-document-paw.png
german-shepherd-travel-crate-dog-relocation-dubai.jpg,4:3,German Shepherd standing in an open IATA travel crate before dog relocation from Dubai,delivered-v4,2267458,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/german-shepherd-travel-crate-dog-relocation-dubai.jpg
british-shorthair-cat-carrier-cat-relocation-dubai.jpg,4:3,British Shorthair cat resting in a travel carrier inside a Dubai apartment,delivered,2543816,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/british-shorthair-cat-carrier-cat-relocation-dubai.jpg
moccae-permit-document-check-hands-dubai.jpg,4:3,Hands reviewing a pet travel checklist for a MOCCAE permit application,delivered-v4,2691659,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/moccae-permit-document-check-hands-dubai.jpg
routes-strip-beagle-crate-doorway-dubai-skyline.jpg,16:9,"Beagle in a travel crate at a home doorway with a Dubai skyline beyond, suggesting international pet relocation routes",delivered,2302188,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/routes-strip-beagle-crate-doorway-dubai-skyline.jpg
how-pet-relocation-works-7-step-process-dubai.png,16:9,Diagram of the 7-step Dubai pet relocation process from free consultation to home reunion,delivered,1365136,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/how-pet-relocation-works-7-step-process-dubai.png
iata-crate-hardware-detail-compliance-dubai.jpg,4:3,Close-up of IATA-compliant pet crate hardware with ventilation grille and secure metal door,delivered,2079567,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/iata-crate-hardware-detail-compliance-dubai.jpg
dubai-pet-relocation-community-coverage-map.png,16:9,"Map of Dubai communities covered for pet relocation, from Dubai Marina to Mirdif and Dubai South",delivered,2282509,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/dubai-pet-relocation-community-coverage-map.png
cat-relocation-dubai-process-diagram.png,16:9,"Cat relocation process in Dubai: carrier acclimation, vet checks, documents, flight, quiet arrival",delivered,1236646,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/cat-relocation-dubai-process-diagram.png
why-no-sedation-cats-flying-diagram.png,16:9,Why vets advise against sedating cats for flights: blood pressure and balance effects at altitude,delivered,1622251,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/why-no-sedation-cats-flying-diagram.png
dog-relocation-dubai-process-diagram.png,16:9,"Dog relocation process in Dubai: breed eligibility, crate sizing, vaccinations, permits, flight, arrival",delivered,1292405,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/dog-relocation-dubai-process-diagram.png
snub-nosed-vs-standard-dog-crate-rule-diagram.png,16:9,Snub-nosed versus standard dog head shapes and the larger crate rule for UAE flights,delivered,1611739,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/snub-nosed-vs-standard-dog-crate-rule-diagram.png
international-pet-relocation-world-route-map-dubai.png,16:9,"World map of pet relocation routes to and from Dubai across the UK, Europe, USA, Asia and Australia",delivered,1920647,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/international-pet-relocation-world-route-map-dubai.png
international-pet-relocation-coordinator-timeline-dubai.jpg,4:3,Coordinator managing an international pet relocation timeline from a Dubai office,delivered,1978787,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/international-pet-relocation-coordinator-timeline-dubai.jpg
