url,page_type,original_state,changes,disposition,qa_evidence,outstanding_dependency
https://dubai-pet-relocation.ae/routes/uk-to-dubai/,route,"Categorical low-risk copy, Model A/B certificate, daily flights, hold temperature, 2-4 hour release, 4-6 week promise","Rebuilt around 3926EHC, 90-day permit, MOCCAE low-risk list entry for the UK, Emirates cargo rule, and government fees AED 200/500/250. Removed flight-time and temperature claims.",refreshed,"Lint and prerender build. Sources in claims-register.csv.","BA full-page fetch timed out. Etihad product not re-fetched."
https://dubai-pet-relocation.ae/dubai/dubai-marina/,community,"Comparative failure claim, ~30 minute drive, AED 2000-25000 range, universal tower-lift language","Replaced with building-name collection notes. No travel-time promise. No package price. Permit remains 90 days from issuance.",refreshed,"Copy grep for AED amounts and minute promises.","Building rules stay with each tower. Not verified against any municipality by-law."
https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,species,"Fake reviews, package AED tables, 15-minute SLA, crate price list, sedation-adjacent calming aids, unverified restricted-breed apartment rules","Species page now covers breed check, crate fit and cargo acceptance. Regulatory detail points at the import guide. Reviews and package prices removed.",refreshed,"No person names or package totals remain on the page.","Residency muzzle and apartment rules not on the MOCCAE page checked. Left off this URL."
https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,species,"Dog-like price table, fake reviews, sedation doses, pheromone product advice, cabin weights","Cat-specific carrier, Bengal/Serval pedigree, cat vaccine list, and a no-dose sedation refusal. Not a dog word-swap.",refreshed,"Compared side by side with the dog page.","Etihad cabin numbers unverified this pass and removed."
https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,regulatory_guide,"90-day titre sample, 10-day parasites, ISO-as-current, AED 5000 fine, 30-day quarantine, 2-4 hour clearance, workshop phrasing","Aligned to the live MOCCAE service page: 90-day permit, 365-day titre certificate conditions, 14-day parasites, published government fees, ban list as printed, inspection and release.",refreshed,"Claim rows marked verified, narrowed or unverified.","Release 4 Batch 1 updated the titre guide and banned-breed guide. Stale cross-references on this page were corrected. Municipal registration remains unverified."
https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,guide,"90-day pre-travel sample window, ISO and implant-before-vaccine as UAE rules, lab prices","Rewritten to the 365-day certificate, 0.5 IU/ml, 21 days only after a first or lapsed vaccine, and the 90-day permit as a separate document. URL slug unchanged.",refreshed,"Copy aligned to claims-register.csv. Lint and prerender.","Veterinary review not supplied. Full low-risk list not reprinted."
https://dubai-pet-relocation.ae/guides/banned-dog-breeds-dubai/,guide,"Restricted muzzle table, AED fines, wolf hybrids, ESA excluded, Savannah banned","Sixteen-name MOCCAE list only. ESA included in the documented exception. No fine amount. Savannah not named as banned.",refreshed,"List compared with ImportRequirementsPage BANNED_DOGS.","Building pet rules stay with each building. GB banned-breed list not copied here."
https://dubai-pet-relocation.ae/guides/moccae-import-permit/,guide,"90-day sample, AED 5000, invented processing promise, workshop subtitle","Permit remains 90 days from issuance. Fees 200/500/250. Rejection or confiscation. No fine. Service time kept as an estimate.",refreshed,"Grep for fine amount and sample window.","Shared regulatory.ts constants were not changed, so later-batch pages can still import older strings."
https://dubai-pet-relocation.ae/guides/import-checklist/,guide,"90-day sample, municipal 30-day and AED 10, free document check CTA, private vet AED","Checklist follows the live import page. Government fees only. WhatsApp CTA is paid eligibility.",refreshed,"CTA uses waEligibility.","Municipal registration still unverified and left off the page."
https://dubai-pet-relocation.ae/service/pet-import-dubai/,service,"Package AED via costRange, AED 5000, Rottweiler as banned, Etihad cabin numbers, 90-day sample","costRange removed so schema has no invented offer. Ban list narrowed. ESA exception corrected. Emirates cargo into Dubai kept.",refreshed,"Service data no longer sets costRange.","Etihad cabin weights and fares remain unverified and are not stated."
https://dubai-pet-relocation.ae/service/pet-export-dubai/,service,"Package AED table, Model A/B, 30-day window stated as a MOCCAE permit","costRange and package table removed. Great Britain document named. No export fee invented.",refreshed,"No package numerals in the service data.","MOCCAE export fee and export-certificate life were not on the import page and stay unpublished."
https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,service,"90-day sample, ISO as a UAE rule, muzzle sentence","Titre and microchip sentences narrowed. Building rules left with the building.",refreshed,"Inbound claims match the register.","No package table was on this file."
https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,service,"Inbound 90-day sample, ISO as universal, loose tapeworm window","Inbound titre sentence replaced. GB dog tapeworm set to 24 hours through 5 days.",refreshed,"Destination GB rules attributed to GOV.UK.","Other destination countries on this page were not re-audited in this batch."
https://dubai-pet-relocation.ae/routes/usa-to-dubai/,route,"USA called low-risk, Form 7001, 10-day certificate, flight hours, embargo calendar, airline marketing","USA not named on the low-risk list. Antibody test required until the live page says otherwise. No package price. No flight duration.",refreshed,"Live MOCCAE list checked 22 September 2026.","RouteCostTeaser still says confirm government fees and does not print 200/500/250. Etihad product not re-fetched."
https://dubai-pet-relocation.ae/routes/dubai-to-uk/,route,"Model A/B, UAE called high-risk, package AED table, 1-2 hour clearance, daily flights and climate holds","Rebuilt on GOV.UK: listed country, Great Britain pet health certificate, 10-day entry, microchip before vaccine, dog tapeworm window. No package price.",refreshed,"GOV.UK pages fetched 22 September 2026.","Northern Ireland not covered. No airport list published. Veterinary review not supplied."
https://dubai-pet-relocation.ae/dubai/,hub,"Workshop leaks, 90-day sample sentence, municipal 30-day deadline, 30-minute Marina drive","Workshop sentences removed. Titre and permit sentences aligned. Municipal deadline and drive time removed. Directory layout kept.",refreshed,"Grep for Grade A, doorway, 301, Owner rule, 30 days.","Older community blurbs still use existing geography copy. Shared regulatory.ts was not edited."
