Claim,URL,Evidence,Evidence URL/internal reference,Verified?,Date checked,Keep/change/remove
Pets relocated count,https://dubai-pet-relocation.ae/,Get a Free WhatsApp Quote Read the UAE Pet Import Guide 400+ Pets relocated 4.9★ Google rating 15 min WhatsApp reply 0 Paperwork errors 24/7 Availability Three Simple Steps How Dubai Pet Relocation Works We make pet relocation straightforward.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"02 We Check & Prepare We review your documents, check MOCCAE requirements, coordinate with vetted partners, and build a clear timeline with deadlines and checkpoints.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,Partner Vetting We only work with partners we trust with our own pets.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,Our Approach A Transparent Partner Model We do not own an airline.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,"Partner-Matched We connect you with vetted partners based on your specific pet, route, and timeline — not a generic list.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"We guide you through MOCCAE export health certificates, the Fit to Fly check, the airport inspection and your flight booking — and stay with you on WhatsApp at every step.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,"We coordinate documentation, permits, airline-approved crates and customs for 50+ destination countries — connecting you with vetted partners and pet-experienced airlines, and keeping you updated on WhatsApp at every step.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"Whether you are moving from Europe, the Americas, Asia or Africa, we guide you through MOCCAE import permits, vaccinations, an airline-approved crate and customs clearance — and stay with you on WhatsApp at every step.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"Pet relocation from Dubai means a MOCCAE export certificate, a destination-specific health workup and a carefully timed flight.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/,"We check breed eligibility against the official UAE rules, size an IATA-compliant crate, map your vaccination timeline and flag the snub-nosed and summer airline restrictions before you book.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/,5 Crate & Flight Booking We measure your pet for an IATA-compliant crate and book manifest cargo space with the airline's cargo department — not passenger reservations.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/,"Veterinary Partners We work with licensed UAE veterinary clinics experienced in international health certificates, export documentation, and pre-flight health checks.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,"Cargo & Airline Partners We book directly with airline cargo departments, not passenger reservation desks.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,"Vetted partner network We only work with clinics, cargo agents, and ground transport providers we trust with our own pets.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/,"Dogs require a rabies titer test (RNATT) performed at an accredited laboratory, followed by a 90-day waiting period before entry into the UAE.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/,"Veterinary access is expanding in these areas, and we keep our partner list updated as new clinics open.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/,We measure your pet and supply an IATA-compliant crate with correct ventilation and locks.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/,"They also require health certificates, import permits, and IATA-compliant crates.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"The dog needs a microchip, rabies vaccination, titer test, 90-day wait, MOCCAE import permit, and health certificate.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/,We Work With Licensed Professionals Every partner in our network is licensed and experienced with live animal transport.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"We coordinated the MOCCAE export endorsement, issued the health certificates within the travel window, and booked a direct cargo flight to Heathrow.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/,"Four months later, the dog arrived safely and was registered with Dubai Municipality within a week.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-relocation-dubai/,3 Crate & booking We help size an IATA-compliant crate and coordinate a pet-experienced flight and cargo booking.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
