family,seed,location_code,language,slug_hint,question,owner_url,cluster,notes,source,volume,raw_file
UK,pet relocation UK to Dubai,2784,en,uk-to-dubai,Can I move my dog from the UK to Dubai?,/routes/uk-to-dubai/,corridor,Corridor-specific eligibility / how-to — route page owns | Owner forced to inbound twin,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-uk-to-dubai__loc2784.json
UK,pet relocation UK to Dubai,2784,en,uk-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-uk-to-dubai__loc2784.json
UK,pet relocation UK to Dubai,2784,en,uk-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-uk-to-dubai__loc2784.json
UK,pet relocation UK to Dubai,2784,en,uk-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-uk-to-dubai__loc2784.json
UK,pet relocation Dubai to UK,2784,en,dubai-to-uk,How much does it cost to ship a pet to the UK?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-dubai-to-uk__loc2784.json
UK,pet relocation Dubai to UK,2784,en,dubai-to-uk,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-dubai-to-uk__loc2784.json
UK,pet relocation Dubai to UK,2784,en,uk-to-dubai,Can I move my dog from the UK to Dubai?,/routes/uk-to-dubai/,corridor,Corridor-specific eligibility / how-to — route page owns | Cross-seed fix: inbound intent → uk-to-dubai (appeared on outbound SERP),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-dubai-to-uk__loc2784.json
UK,pet relocation Dubai to UK,2784,en,dubai-to-uk,What are the requirements for relocating my dog to the UK?,/routes/dubai-to-uk/,corridor,Destination-entry requirements for outbound corridor page,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__pet-relocation-dubai-to-uk__loc2784.json
UK,bring dog from UK to Dubai,2826,en,uk-to-dubai,How much does it cost to fly a dog from the UK to Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__bring-dog-from-uk-to-dubai__loc2826.json
UK,bring dog from UK to Dubai,2826,en,uk-to-dubai,Can I take my pet dog to Dubai?,/routes/uk-to-dubai/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__bring-dog-from-uk-to-dubai__loc2826.json
