Item,Type,Cluster,Justification,Demand Evidence,Priority Score,Blocked By,Target Cycle
/routes/belgium-to-dubai/ + /routes/dubai-to-belgium/ (HOLD routes),page-pair (route),— (no cluster formed in keyword universe),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/switzerland-to-dubai/ + /routes/dubai-to-switzerland/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/spain-to-dubai/ + /routes/dubai-to-spain/ (HOLD routes),page-pair (route),route-spain-inbound (65/mo) + route-spain-outbound (36/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~101/mo combined,59,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/italy-to-dubai/ + /routes/dubai-to-italy/ (HOLD routes),page-pair (route),route-italy-inbound (42/mo) + outbound (36/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~78/mo combined,58,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/ireland-to-dubai/ + /routes/dubai-to-ireland/ (HOLD routes),page-pair (route),route-ireland-inbound (42/mo) + outbound (36/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~78/mo combined,58,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/hong-kong-to-dubai/ + /routes/dubai-to-hong-kong/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/china-to-dubai/ + /routes/dubai-to-china/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/japan-to-dubai/ + /routes/dubai-to-japan/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/korea-to-dubai/ + /routes/dubai-to-korea/ (HOLD routes),page-pair (route),— (no cluster formed; Foufoufly covers South Korea),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/thailand-to-dubai/ + /routes/dubai-to-thailand/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/indonesia-to-dubai/ + /routes/dubai-to-indonesia/ (HOLD routes),page-pair (route),— (no cluster formed; DeloroPets lists Indonesia),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/malaysia-to-dubai/ + /routes/dubai-to-malaysia/ (HOLD routes),page-pair (route),— (no cluster formed),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,<=36/mo est.,55,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/qatar-to-dubai/ + /routes/dubai-to-qatar/ (HOLD routes),page-pair (route),route-qatar-inbound (75/mo) + outbound (73/mo); airline-qatar 170/mo,Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~148/mo combined route clusters,59,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/bahrain-to-dubai/ + /routes/dubai-to-bahrain/ (HOLD routes),page-pair (route),route-bahrain-inbound (42/mo) + outbound (36/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~78/mo combined,58,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/kuwait-to-dubai/ + /routes/dubai-to-kuwait/ (HOLD routes),page-pair (route),route-kuwait-inbound (42/mo) + outbound (36/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~78/mo combined,58,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/oman-to-dubai/ + /routes/dubai-to-oman/ (HOLD routes),page-pair (route),route-oman-inbound (42/mo) + outbound (55/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~97/mo combined,59,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/routes/turkey-to-dubai/ + /routes/dubai-to-turkey/ (HOLD routes),page-pair (route),route-turkey-inbound (65/mo) + outbound (55/mo),Architecture-brief HOLD ruling: below the >=65/mo single-cluster demand threshold or insufficient first-party regulatory evidence at audit time; defer until 13-week program routes prove the template ranks. Qatar is the strongest HOLD candidate (GCC).,~120/mo combined,59,13-week program route results (W13 review); first-party regulatory verification for destination,"Next cycle (Q1 2027), promote on demand evidence"
/service/emergency-pet-relocation/,page (service),"urgency (~150/mo, mostly low-intent)",Brief HOLD ruling: create ONLY if business confirms urgent/last-minute capability in writing; publishing an unstaffed emergency promise is a trust risk.,urgent pet relocation Dubai 10/mo; cluster ~150/mo,81,Stakeholder capability confirmation (decision gate W9),Next cycle IF confirmed at W9 gate
/cities/ras-al-khaimah/,page (city),local-rak,Emirate page deferred per brief (backlog): demand below Sharjah/Abu Dhabi tier; ISS ranks generically — beatable later; /cities/ hub references emirate in the meantime.,50/mo,65,Demand threshold; emirate-specific municipality rule verification,Next cycle (RAK first at 50/mo)
/cities/ajman/,page (city),local-ajman,Emirate page deferred per brief (backlog): demand below Sharjah/Abu Dhabi tier; ISS ranks generically — beatable later; /cities/ hub references emirate in the meantime.,20/mo,64,Demand threshold; emirate-specific municipality rule verification,Next cycle (RAK first at 50/mo)
/cities/fujairah/,page (city),local-fujairah,Emirate page deferred per brief (backlog): demand below Sharjah/Abu Dhabi tier; ISS ranks generically — beatable later; /cities/ hub references emirate in the meantime.,10/mo,62,Demand threshold; emirate-specific municipality rule verification,Next cycle (RAK first at 50/mo)
/cities/umm-al-quwain/,page (city),local-uaq,Emirate page deferred per brief (backlog): demand below Sharjah/Abu Dhabi tier; ISS ranks generically — beatable later; /cities/ hub references emirate in the meantime.,10/mo,62,Demand threshold; emirate-specific municipality rule verification,Next cycle (RAK first at 50/mo)
Pet relocation cost CALCULATOR (interactive),tool (on existing URL),cost (~76 priority cluster),Competitor gap #5: PawPaths engages with an AI crate calculator; nobody pairs tools with real AED route cost tables. Build as interactive feature ON /guides/pet-relocation-cost-dubai/ — NOT a new URL (brief HOLD note).,cost cluster ~800/mo across cost terms,76,Developer capacity; W4 verified fee tables must be live first,Next cycle (build after W4 content stabilises)
Crate-size interactive tool,tool (on existing URL),cost/crate,Companion tool on /guides/iata-pet-crate-requirements/ using verified IATA CR1 formula (+10% snub-nosed rule); brief: tools live on existing pages.,IATA crate cluster ~64 priority,64,Developer capacity; W9 crate diagram first,Next cycle
GCC corridor expansion (Qatar/Bahrain/Kuwait/Oman deep-dive),content cluster,route-qatar/bahrain/kuwait/oman,Competitor gap #3: no dedicated GCC route guides observed anywhere; Saudi pair (W7/W8) is the beachhead — expand if it ranks/converts.,Qatar ~148/mo; Oman ~97/mo; Bahrain/Kuwait ~78/mo each,59,Saudi route performance data (W13 + 90 days),Next cycle
"Breed-specific pages (French bulldog, Persian cat etc.)",page (breed),breed-* clusters,Brief rule: only if SERPs justify a dedicated page beyond /guides/snub-nosed-dogs-flying-uae/ and banned-breeds guide coverage; audit SERPs after W9 guide performance.,French bulldog 20/mo; pug 10/mo; Persian cat 10/mo,55,SERP justification audit; W9 guide cannibalization check,Next cycle (only if justified)
"Grade-B local pages: al-furjan, al-quoz, al-satwa, creek-harbour, damac-hills, damac-hills-2, dubai-investment-park, dubai-production-city, dubai-silicon-oasis, emaar-south, jvt, motor-city, mudon, sports-city, victory-heights, dubailand (REPOSITION as district hub), meydan (REFRESH to break ND4)",page set (17 local),local-*,Roadmap: improve with unique local content or merge into nearest A page after 90 days of impressions data (re-grade at day 90). Not in 13-week scope — Grade A (16 pages) consumed W10 capacity.,Individual local terms <=10-20/mo each; halo from /dubai/ hub,P2,90-day GSC impressions data (available ~W13+); W10 Grade-A work first,Next cycle after re-grade
"Listicle outreach: PropertyFinder, missmeow.ae, petsguide.ae (+petpulsedubai, uaeedge)",outreach,core-money comparison SERP,"Competitor gap #4: ""best pet relocation companies Dubai"" SERP owned by listicles with factual errors; DPR must get listed AND rank its own comparison page (W4).",~200/mo comparison cluster,84,W4 comparison page live (outreach credibility); verified trust claims,W13+ / next cycle (ongoing)
Export charter & premium flight options guide (cargo vs excess baggage vs Etihad cabin vs shared charter vs private jet),page (guide) — next-cycle idea,cost-export / premium,"Competitor gap #9: Paws Abroad owns charter ($8-12k Dubai-Europe) and private-jet cost content; relocator-owned ""all ways to fly your pet out of Dubai"" captures high-value leads.",charter/private-jet cost terms (Paws Abroad ranking proof),60,New-URL justification required (12 pre-creation questions); W6 export guide live first,Next cycle
Returning-resident / re-entry + quarantine & failure-mode content,page (guide) — next-cycle idea,governance-quarantine,"Competitor gap #10: ""returning to UAE with pet"", ""what happens if documents are wrong at DXB"" — only PetTravel.com touches re-entry; own the anxiety keywords.",pet quarantine Dubai 70/mo; quarantine rules UAE 40/mo,58,New-URL justification; possibly a section of /guides/dubai-pet-arrival-guide/ instead (deconflict at planning),Next cycle
Arabic-language permit guide(s),content localization — next-cycle idea,governance-moccae,"Runner-up gap: zero Arabic content observed anywhere in SERP; Pet Station touts Arabic government liaison. hreflang scope decision needed (site currently single-language, no hreflang).",Unquantified (Arabic keyword research not yet run),P3,Arabic keyword research; translation/localization resource; hreflang implementation,Future cycle (research first)
Exotic/bird/rabbit relocation content,page (guide) — next-cycle idea,species-other,"Runner-up gap: only DKC mentions exotics, thin. Low commercial priority vs core dog/cat demand.",Minimal measured demand in keyword universe,P3,Demand evidence; service capability confirmation,Future cycle
"""DKC alternative / vs"" + brand-comparison terms",content — next-cycle idea,comparison-brand,Competitor-notes: DKC ranks via directory/listicle mentions; target brand-adjacent comparison terms with honest content (same honesty rules as W4 comparison page).,Brand-adjacent volumes unquantified in universe,P3,Legal review; W4 comparison page performance,Future cycle
Pet tracking / status-update product + proof content,product+content — next-cycle idea,trust/conversion,Runner-up gap: Sandy Paws Track & Trace and Starwood app show demand for visibility; video proof/tracking content differentiates.,Qualitative (competitor feature demand),P3,Product/operations capability,Future cycle
Pet taxi / airport-clearance micro-service pages,page (service) — next-cycle idea,core-money local crossover,"Competitor gap #1/#16: Falcon Vet owns ""pet taxi Dubai"" (170/mo) with district AED pricing; DPR covers this within /service/pet-transport-dubai/ (W3) — dedicated micro-service pages only if W3 page fails to rank after 90 days.",pet taxi Dubai 170/mo; airport pet pickup Dubai,70,W3 pet-transport expansion 90-day performance; cannibalization check vs ruling 7,Next cycle (conditional)
Glossary page (pet relocation terms),page (info) — next-cycle idea,governance/informational,"homepage-ia.md section 40: ""Pet Relocation Terms Explained"" has no internal home; candidate glossary section of /guides/ or standalone page — requires 12-question pre-creation check.",Long-tail definitional terms across universe,P3,Pre-creation check; /faq/ dedupe decision,Next cycle
