Claim,Source,Source URL,Jurisdiction,Date Checked,Last-Updated Date If Available,Confidence Level,Page Using The Claim,Next Review Date
MOCCAE (Ministry of Climate Change and Environment) is the UAE federal authority that issues pet import permits and veterinary travel documents,MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Every dog or cat imported into the UAE requires a MOCCAE import permit issued BEFORE the pet arrives; pets cannot enter with an expired permit,MOCCAE / USDA APHIS,https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-united-arab-emirates,UAE,2026-09-04,2023-10-10,high,TBD - assign during page build,2026-12-03
MOCCAE import permit for pets is valid for 30 days from the date of issuance; the pet must enter the UAE within that window (NOTE: some 2025-26 secondary sources and the client's own site claim 90 days - verify on MOCCAE portal before publishing),USDA APHIS / MOCCAE document / RAK Customs,https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-united-arab-emirates,UAE,2026-09-04,2023-10-10,medium,TBD - assign during page build,2026-12-03
"Maximum 2 pets per person (2 cats, or 2 dogs, or 1 cat and 1 dog) may be imported into the UAE per permit/per year for personal (non-commercial) import",USDA APHIS,https://www.aphis.usda.gov/pet-travel/us-to-another-country-export/pet-travel-us-united-arab-emirates,UAE,2026-09-04,2023-10-10,high,TBD - assign during page build,2026-12-03
"MOCCAE import permit government fee is approximately AED 200 per pet (per official Abu Dhabi government portal ADRO; an older MOCCAE-published PDF lists AED 500 per pet - fee conflict flagged, verify on MOCCAE portal)",Abu Dhabi Government (ADRO),https://adro.gov.ae/Living-in-Abu-Dhabi/Living-With-Pets,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
MOCCAE import permit processing typically takes 2-5 working days (no first-party published SLA found; secondary UAE sources agree),Foufoufly / Dubai Pet Relocation (secondary),https://foufoufly.com/moccae-pet-import-permit/,UAE,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
Pets must enter the UAE as manifested (manifest) cargo in accordance with IATA live animal transport conditions - not as cabin or accompanied checked baggage (exception: Etihad in-cabin arrivals into Abu Dhabi),MOCCAE / RAK Customs,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Imported dogs and cats must be identified with an ISO 11784/11785-compliant 15-digit microchip; the chip number on the health certificate must match the implanted chip,MOCCAE / RAK Customs,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Microchip must be implanted BEFORE the rabies vaccination for the vaccination to be valid for UAE import,MOCCAE,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Rabies vaccination: first vaccination not before the pet is 12 weeks (3 months) old, and at least 21 days must elapse between vaccination and arrival in the UAE",MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Required dog vaccinations for UAE import: rabies plus canine distemper (CDV), parvovirus, infectious canine hepatitis (adenovirus) and leptospirosis",MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Required cat vaccinations for UAE import: rabies plus feline panleukopenia, feline rhinotracheitis (herpesvirus) and calicivirus",MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Rabies antibody titre test (RNATT/RSNT) required for pets arriving from countries NOT on MOCCAE's low-risk/exempt country list; minimum acceptable result 0.5 IU/ml; blood sample taken within 90 days before travel,MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Pets from MOCCAE-listed rabies-controlled (low-risk) countries are exempt from the rabies titre test (the current exempt-country list could not be captured from a first-party page this check - flag for verification),MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
External parasite treatment (e.g. Fipronil/Permethrin) and internal deworming required within 10 days before shipping to the UAE,MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
An official health certificate issued/endorsed by the competent government veterinary authority of the origin country must accompany the pet; commonly required within 5-10 days of departure,MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Non-compliant imports face a fine of AED 5,000 per animal and the animal may be rejected or confiscated",MOCCAE,https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Compliant pets are examined by MOCCAE veterinary staff at the UAE entry port and released to the owner - no routine quarantine for compliant pets,MOCCAE / RAK Customs,https://rakcustoms.rak.ae/wp-content/uploads/Issue23_En.pdf,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"On-arrival veterinary release/inspection fee at DXB Cargo Village: widely cited 2025-26 figure AED 500 per dog / AED 250 per cat (an older MOCCAE PDF lists AED 1,000 per dog / AED 500 per cat - fee conflict flagged, verify on MOCCAE portal)",RelocateMyPet / Dubai Pet Relocation (secondary),https://relocatemypet.ae/hub/moccae-pet-travel-documentation,UAE,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
"Banned/restricted dog breeds in the UAE (Federal Law No. 22 of 2016, Annex 2): Pit Bulls (Staffordshire Bull Terrier, American Pit Bull Terrier, American Staffordshire Terrier, American Bully and their mixes/hybrids)",UAE Government portal (u.ae) - Federal Law 22/2016,https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"UAE banned breeds continued: Mastiff dogs (Brazilian Mastiff/Fila Brasileiro, Argentinian Mastiff/Dogo Argentino, any Mastiff or hybrid), Japanese Tosa or hybrid, Rottweilers or hybrid, Doberman Pinschers, Presa Canario, Boxer",UAE Government portal (u.ae) - Federal Law 22/2016,https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Possessing, trading or breeding Annex-2 dangerous dogs is prohibited in the UAE under Article 14 of Federal Law No. 22 of 2016",UAE Government portal (u.ae),https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
