Week,Date,Cluster,URL,Existing/New,Primary Keyword,Supporting Keywords,Search Intent,Action,Content Requirement,Image Requirement,Internal Links,Schema,Fact Sources,Priority,Owner Agent,Dependencies,Status
1,2026-09-07,technical,/routes (bare URL) + /routes/ hub,New,pet relocation routes Dubai,"(hub aggregates 21 route clusters, ~4,800/mo)",navigational/hub,FIX 404 + CREATE,"Resolve live 404: 301 bare /routes -> /routes/ and publish v1 hub (800-1,200 words, route cards for the 10 live routes, grouped inbound/outbound; placeholders for 11 planned routes added as they go live W7-W8). Full build-out completed W10.","2 images (0 original-photo, 2 AI-acceptable) per image-map.csv — Hero: Flat route-map diagram grouping inbound and outbound corrido; Route cards: Flat icon set: crate, plane silhouette, document, paw",23 inbound (23 P1) / 22 outbound planned in internal-link-map.csv,Article + FAQPage + BreadcrumbList + ItemList,regulatory-source-of-truth only; no unverified fees,P1,Developer,redirect-map.csv rows 10-11,planned
1,2026-09-07,technical,/cities (bare URL) + /cities/ hub,New,pet relocation UAE cities,pet relocation UAE; pet relocation services UAE; pet shipping UAE,navigational/hub,FIX 404 + CREATE,"Resolve live 404: 301 bare /cities -> /cities/ and publish v1 hub (600-900 words, emirate cards: Dubai -> /dubai/, Abu Dhabi, Sharjah placeholder until W10). Full build-out W10.","2 images (0 original-photo, 2 AI-acceptable) per image-map.csv — Hero: Stylised flat map of the UAE with Dubai, Abu Dhabi and Sharj; Emirate cards: Flat icon trio: city skyline, mosque-dome silhouette, paw",4 inbound (3 P1) / 3 outbound planned in internal-link-map.csv,Article + FAQPage + BreadcrumbList + ItemList,u.ae; MOCCAE; Dubai Municipality,P1,Developer,redirect-map.csv rows 10-11,planned
1,2026-09-07,regulatory-correction,51 flagged pages site-wide (VETO),Existing,"(site-wide correction, not a ranking play)",—,—,REGULATORY VETO FIX,"Apply 90-day -> 30-day MOCCAE import-permit validity correction on all 51 flagged pages AFTER MOCCAE portal verification confirms 30 days (first-party evidence: USDA APHIS, MOCCAE document, RAK Customs). If portal shows otherwise, escalate to Regulatory Fact-Checker before any edit. Highest-priority VETO item — blocks all content rewrites.",No new images,Sitewide pass; no new links,No schema change,MOCCAE portal (live check); USDA APHIS; RAK Customs,P1,Regulatory Fact-Checker,MOCCAE portal verification task (same week); regulatory-source-of-truth.csv row 4,planned
1,2026-09-07,regulatory-correction,MOCCAE portal verification (fees),—,—,—,—,VERIFY,"Verify on MOCCAE portal before ANY fee table is published: import permit fee AED 200 (ADRO) vs AED 500 (older MOCCAE PDF); on-arrival release/inspection fee AED 500 dog / 250 cat vs 1,000/500 (older PDF); export health certificate AED 100/personal consignment. Record outcome + date + screenshot in regulatory-source-of-truth.csv and change-log.csv.",—,—,—,MOCCAE portal; ADRO (adro.gov.ae),P1,Regulatory Fact-Checker,"Blocks W4 cost guide, W5 import pages, all fee tables",planned
1,2026-09-07,regulatory-correction,site-wide titer-timing wording,Existing,—,—,—,WORDING FIX,"Replace ""90-day waiting period"" titer phrasing with first-party rule: RNATT blood sample taken within 90 days BEFORE travel (min 0.5 IU/ml). Priority pages: homepage, /guides/uae-pet-import-requirements/, /guides/rabies-titer-test-dubai/, india/philippines/south-africa inbound routes.",—,—,—,MOCCAE (RNATT within 90 days before travel),P1,Regulatory Fact-Checker,Pairs with VETO fix pass,planned
1,2026-09-07,trust-eeat,/ (homepage trust bar) + site-wide claims,Existing,—,—,—,REMOVE/HOLD UNVERIFIED CLAIMS,"Remove or hold homepage trust-bar claims pending evidence per trust-claims-register (234 claims, all REVIEW): 400+ pets relocated, 4.9 Google rating, 0 paperwork errors, 15-min WhatsApp reply, 24/7 availability (7 instances), 50+ destination countries, all 18 license/certification claims. Replace with process language. ""0 errors"" recommended permanently removed or rephrased.",—,—,—,trust-claims-register.csv,P1,Content Writer,Owner to supply evidence; register updated on verification,planned
1,2026-09-07,technical,redirect-map staging (8 content redirects),Existing,—,—,—,STAGE REDIRECTS,Stage (do NOT fire) the 8 content-merge 301s: /cities/dubai/->/dubai/; karama->bur-dubai; bluewaters->jbr; port-de-la-mer->jumeirah; city-walk->downtown-dubai; al-wasl->umm-suqeim; international-city->dubai-silicon-oasis; sheikh-zayed-road->/dubai/. Go-live deferred to W10 so merge targets are expanded and unique snippets salvaged FIRST. (Design change vs original W1 go-live — prevents content loss.),—,—,—,redirect-map.csv; crawl-summary near-duplicate groups ND1-ND5,P1,Developer,W10 Grade-A expansions must precede go-live,planned
1,2026-09-07,analytics,site-wide tracking,Existing,—,—,—,ANALYTICS CHECK,"Verify/enable conversion tracking: CTA click events per CTA taxonomy (Get Route Checked, Check Pet Eligibility, Get a Relocation Quote, Check Documents, Ask About Your Pet, Calculate Estimated Cost, Check Your Timeline, WhatsApp a Relocation Coordinator), WhatsApp deep-link clicks, form submissions, phone clicks. Baseline lead counts before content ships.",—,—,—,—,P1,Analytics Specialist,GTM/GA4 access,planned
1,2026-09-07,technical,site-wide schema validation,Existing,—,—,—,SCHEMA VALIDATION,"Validate existing JSON-LD (Organization/WebSite 81, BreadcrumbList 78, FAQPage 74, LocalBusiness 44, Service 11, HowTo 9, Article 17) in Rich Results Test + Schema.org validator; fix errors before new schema ships. Confirm LocalBusiness only on location-relevant pages.",—,—,—,crawl-summary.md schema inventory,P2,Developer,—,planned
1,2026-09-07,program-ops,(week 1 close-out),—,—,—,—,WEEKLY REVIEW,"Weekly review of Week 1 FOUNDATION & TRUTH (404 hub fixes live, VETO correction applied, fees verified on MOCCAE portal, unverified trust claims held, redirects staged, tracking baseline). 13-point weekly output checklist: (1) work completed vs plan; (2) URLs created; (3) URLs modified; (4) URLs merged/redirected; (5) keywords assigned/confirmed in keyword-lock-map; (6) internal links added vs internal-link-map; (7) images delivered vs image-map; (8) schema deployed & validated; (9) regulatory facts verified against regulatory-source-of-truth (30/90/180-day freshness); (10) problems/blockers encountered; (11) ranking movement (GSC/rank tracker); (12) indexation status; (13) next-week tasks confirmed.",—,—,—,regulatory-source-of-truth.csv; trust-claims-register.csv,P1,SEO Lead,All week-1 tasks,planned
