claim,scope,source_url,source_type,checked_date,reviewer,status,recheck_trigger,dependent_pages
"MOCCAE import permit is valid for 90 days from issuance and an expired permit cannot be used",UAE import,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,MOCCAE service page text changes,/routes/uk-to-dubai/; /dubai/dubai-marina/; /dog-relocation-to-dubai/; /cat-relocation-to-dubai/; /guides/uae-pet-import-requirements/
"United Kingdom is on the MOCCAE low-risk country list so a rabies antibody test is not required for that origin category",UK origin,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Low-risk list edited,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"Full low-risk country list reprinted as a maintained site list",all origins,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,List changes; do not mirror the whole list on these pages,/guides/uae-pet-import-requirements/
"High-risk origin needs a rabies antibody test of at least 0.5 IU/ml",high-risk import,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Threshold wording changes,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
"Rabies testing certificate valid 365 days if the vaccine stays valid and continuous and no booster is given; otherwise repeat. First or lapsed vaccination needs at least 21 days before the test. A valid booster does not.",high-risk titre,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Service page titre paragraph changes,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/; /dog-relocation-to-dubai/; /cat-relocation-to-dubai/
"Blood sample must be taken within 90 days before travel",titre timing,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Older PDF said this; live service page on this date did not. Removed from the five URLs. Titre guide not updated.,/guides/uae-pet-import-requirements/
"Government fees: AED 200 permit per head; AED 500 dog release; AED 250 cat release",government fees only,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Fee table on the service page changes,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"Package or crate totals in AED",commercial price,none,not_a_source,2026-09-22,AI source review; veterinary review not supplied,narrowed,Do not invent. Removed from dog cat and Marina pages.,/dog-relocation-to-dubai/; /cat-relocation-to-dubai/; /dubai/dubai-marina/
"Non-compliance fine of AED 5000",penalty,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Not on the live service page. Older PDF only. Removed.,/guides/uae-pet-import-requirements/
"Non-compliance outcome is rejection at owner expense or confiscation",penalty,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Outcome sentence changes,/guides/uae-pet-import-requirements/
"Matching animals are examined at the entry port and released. No routine quarantine length is published.",arrival,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Do not add a day count or a universal no-quarantine guarantee,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
"Published service time 1 working day; 5 working days for service emotional-support or medical dogs",permit timing,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Service completion block changes. Treat as an estimate not a promise.,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"Personal import cap of 2 companion animals per person per year with a returning-resident exception",quantity,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Cap sentence changes,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
"Permanent microchip; certificate number must match the implanted chip. ISO 11784/11785 not restated.",identification,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,If ISO returns to the live page restore the standard,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
"Microchip must be implanted before rabies vaccination or the vaccine is invalid",identification,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Not restated on the live service page. Removed as a current rule.,/guides/uae-pet-import-requirements/; /dog-relocation-to-dubai/
"Parasite treatment during the 14 days before shipment",parasites,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Window changes. No doses published.,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/; /cat-relocation-to-dubai/
"Dog vaccines: rabies distemper parvovirus infectious canine hepatitis leptospirosis (lab test substitute allowed)",dog vaccines,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Vaccine list changes,/guides/uae-pet-import-requirements/; /dog-relocation-to-dubai/
"Cat vaccines: rabies panleukopenia rhinotracheitis calicivirus. FeLV not on the required list.",cat vaccines,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Vaccine list changes,/guides/uae-pet-import-requirements/; /cat-relocation-to-dubai/
"Bengal and Serval cats need a fifth-generation pedigree certificate",cats,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Pedigree sentence changes,/cat-relocation-to-dubai/; /guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
"Savannah cats banned",cats,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Not named on the live page. Removed.,/guides/uae-pet-import-requirements/
"Dog ban list as printed on the service page including Japanese Tosa and Presa Canario",dogs,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Ban list edits,/guides/uae-pet-import-requirements/
"Rottweiler Doberman Boxer banned or apartment-restricted with muzzle rules",dogs,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Not on the live service page. Removed from these URLs. Banned-breed guide not re-audited.,/dog-relocation-to-dubai/; /guides/uae-pet-import-requirements/
"UK export uses 3926EHC version 8 not Model A or Model B. England Scotland Wales apply online. Northern Ireland uses DAERA.",UK export,https://www.gov.uk/export-health-certificates/export-cats-and-dogs-to-the-united-arab-emirates-uae-certificate-3926,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,GOV.UK certificate page version changes,/routes/uk-to-dubai/
"3926EHC: exam within 24 hours of export; certificate valid 10 days; animal at least 15 weeks at export; first rabies vaccine more than 21 days before export and at least 12 weeks old at vaccination; UK rabies-free under WOAH code",UK export,https://assets.publishing.service.gov.uk/media/683dc4bea9b2749a8095e084/3926EHC_V8_FF.pdf,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Specimen version changes,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"3926EHC external treatment names fipronil or permethrin and internal treatment names a praziquantel anthelmintic both less than 14 days before shipping. Vet must choose a species-safe product. No dose given.",UK parasites,https://assets.publishing.service.gov.uk/media/683dc4bea9b2749a8095e084/3926EHC_V8_FF.pdf,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Certificate drug names change. Do not instruct cat owners to use a dog permethrin product.,/routes/uk-to-dubai/; /cat-relocation-to-dubai/
"3926EHC dog breed exclusion list includes crosses",UK dogs,https://assets.publishing.service.gov.uk/media/683dc4bea9b2749a8095e084/3926EHC_V8_FF.pdf,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Certificate breed paragraph changes,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"MOCCAE low-risk minimum age written as 12 without a unit",age,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Ambiguous English. Not stated as 12 weeks. UK export uses 15 weeks from 3926EHC.,/guides/uae-pet-import-requirements/; /routes/uk-to-dubai/
